<strong>C++: Inheritance</strong><br>What is the primary purpose of inheritance?	To create new classes from existing ones, reusing their data and behaviors (is-a relationship).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F9-%20inheritance
<strong>C++: Inheritance</strong><br>In the context of class relationships, what is the difference between inheritance and composition?	Inheritance models an "is-a" relationship (e.g., a circle is a shape), while composition models a "has-a" relationship (e.g., a person has an account).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F9-%20inheritance
<strong>C++: Inheritance</strong><br>How do protected class members behave in an inheritance hierarchy?	They are accessible within the class itself and its derived classes, but not accessible by objects of the class from the outside.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F9-%20inheritance
<strong>C++: Inheritance</strong><br>What is the order of constructor execution when creating a derived class object?	The Base class constructor executes first, followed by the Derived class constructor.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F9-%20inheritance
<strong>C++: Inheritance</strong><br>What is the order of destructor execution when destroying a derived class object?	The Derived class destructor executes first, followed by the Base class destructor (reverse of construction).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F9-%20inheritance
<strong>C++: Inheritance</strong><br>What is the syntax for a derived class to inherit publicly from a base class?	<pre style='text-align:left; font-family:monospace;'><code>class Derived : public Base { ... };</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F9-%20inheritance
<strong>C++: Pointers & Arrays</strong><br>How can you loop through an array using a pointer?	<pre style='text-align:left; font-family:monospace;'><code>while(*arr != sentinel) {
    cout << *arr++ << " ";
}</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Farray%20and%20pointers
<strong>C++: Pointers & Arrays</strong><br>What is the relationship between array subscript notation and pointer offset notation?	<code>arr[i]</code> is equivalent to <code>*(arr + i)</code>.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Farray%20and%20pointers
<strong>C++: Compilation</strong><br>What are the two main steps to execute a C++ program?	1. Compile (convert source to object code)<br>2. Link (connect object files together)	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2FBeginning%20C%2B%2B%20Programming%20-%20From%20Beginner%20to%20Beyond
<strong>C++: Errors</strong><br>What is the difference between syntax, semantic, and runtime errors?	- Syntax: Structure is wrong (compile error)<br>- Semantic: Meaning is wrong (logic error)<br>- Runtime: Happens during execution (e.g., divide by zero)	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2FBeginning%20C%2B%2B%20Programming%20-%20From%20Beginner%20to%20Beyond
<strong>C++: Copy Constructor</strong><br>When is a copy constructor called?	When an object is passed by value, returned by value, or explicitly constructed from another existing object.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fcopy%20constructor
<strong>C++: Copy Constructor</strong><br>What is the difference between a shallow copy and a deep copy?	Shallow copy copies pointers (pointing to same data), while deep copy allocates new memory and copies the actual data.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fcopy%20constructor
<strong>C++: Copy Constructor</strong><br>Write the signature for a copy constructor of class `ClassName`.	<pre style='text-align:left; font-family:monospace;'><code>ClassName(const ClassName& source);</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fcopy%20constructor
<strong>C++: Arrays</strong><br>How do you declare and initialize a 2D integer array with 2 rows and 3 columns?	<pre style='text-align:left; font-family:monospace;'><code>int grades[2][3] = { {1,2,3}, {4,5,6} };</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fdimensional%20array
<strong>C++: Classes</strong><br>Where should the class specification (declaration) and implementation typically reside?	Specification in Header files (`.h`), Implementation in Source files (`.cpp`).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fimplementing%20member%20methods
<strong>C++: Iterators</strong><br>What is an iterator?	A pointer-like object used to traverse elements in a container (like `vector` or `map`).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fiterator
<strong>C++: Iterators</strong><br>Write a loop using an iterator to print a vector `nums`.	<pre style='text-align:left; font-family:monospace;'><code>for (auto it = nums.begin(); it != nums.end(); ++it) {
    cout << *it << " ";
}</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fiterator
<strong>C++: STL Map</strong><br>How do you check if a key exists in a `std::map`?	Use `map.count(key)`, `map.contains(key)` (C++20), or check if `map.find(key) != map.end()`.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fmap
<strong>C++: STL Map</strong><br>What happens if you access a map key using `[]` that doesn't exist?	It inserts a new element with that key and a default value.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fmap
<strong>C++: Move Semantics</strong><br>What is the purpose of a move constructor?	To transfer ownership of resources (like dynamic memory) from a temporary object (R-value) to a new object, avoiding expensive deep copies.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fmove%20constructor
<strong>C++: Move Semantics</strong><br>What is an R-value reference?	A reference to a temporary object, denoted by `&&` (e.g., `int&&`).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fmove%20constructor
<strong>C++: Functions</strong><br>What is the difference between pass-by-value and pass-by-reference?	Pass-by-value copies the argument (callee modifications don't affect caller). Pass-by-reference passes an alias (callee modifications affect caller).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fpass%20by%20value%20vs%20pass%20by%20reference
<strong>C++: Pointers</strong><br>How do you reverse an array using two pointers?	Set one pointer to start, one to end. Swap values at pointers, increment start, decrement end until they meet.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2FReverse%20an%20ArrayUsing%20the%20Pointers
<strong>C++: Storage Classes</strong><br>What is a static local variable?	A variable declared `static` inside a function. It retains its value between function calls and is initialized only once.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fstatic%20local%20variable
<strong>C++: Pointers</strong><br>Write a function to swap two integers using pointers.	<pre style='text-align:left; font-family:monospace;'><code>void swap(int *a, int *b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Fswapping%20using%20pointers
<strong>C++: Templates</strong><br>What is a function template?	A generic function blueprint that allows writing a single function to handle multiple data types.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Ftemplates
<strong>C++: Templates</strong><br>Write a template function `add` that adds two values of type T.	<pre style='text-align:left; font-family:monospace;'><code>template <typename T>
T add(T a, T b) {
    return a + b;
}</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2Ftemplates
<strong>C++: Polymorphism</strong><br>What are the three requirements for dynamic polymorphism in C++?	1. Inheritance<br>2. Base class pointer or reference<br>3. Virtual functions	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F10-%20Polymorphism
<strong>C++: Polymorphism</strong><br>What is a pure virtual function?	A virtual function with no implementation in the base class, declared with `= 0`. It makes the class abstract.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F10-%20Polymorphism
<strong>C++: Polymorphism</strong><br>Why must a polymorphic base class have a virtual destructor?	To ensure the derived class destructor is called when deleting an object through a base class pointer, preventing memory leaks.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F10-%20Polymorphism
<strong>C++: Smart Pointers</strong><br>What is a `std::unique_ptr`?	A smart pointer that has exclusive ownership of the object it points to. It cannot be copied, only moved.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F11-%20smart%20pointers
<strong>C++: Smart Pointers</strong><br>What is a `std::shared_ptr`?	A smart pointer that allows shared ownership. It uses reference counting to destroy the object when the last pointer is destroyed.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F11-%20smart%20pointers
<strong>C++: Smart Pointers</strong><br>What is a `std::weak_ptr` and why is it used?	A non-owning reference to an object managed by `shared_ptr`. It is used to break circular references that would cause memory leaks.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F11-%20smart%20pointers
<strong>C++: Exception Handling</strong><br>What is stack unwinding?	The process of exiting functions and removing them from the call stack when an exception is thrown, looking for a matching catch block.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F12-%20Exception%20handling
<strong>C++: I/O Streams</strong><br>What class is used for reading from a file?	`std::ifstream` (Input File Stream).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F13-%20streams
<strong>C++: I/O Streams</strong><br>What is `std::stringstream` used for?	To treat a string like a stream, allowing you to read/write data to/from a string (useful for parsing).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F13-%20streams
<strong>C++: STL</strong><br>What are the three main components of the STL?	Containers, Algorithms, and Iterators.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F14-%20STL
<strong>C++: Lambdas</strong><br>What is the syntax for a lambda expression?	<pre style='text-align:left; font-family:monospace;'><code>[capture_list] (parameters) -> return_type { body }</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F15-%20lambda%20expression
<strong>C++: Lambdas</strong><br>What does `[=]` mean in a lambda capture list?	Capture all local variables by value.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F15-%20lambda%20expression
<strong>C++: Strings</strong><br>How do you concatenate C++ strings?	Using the `+` operator or `+=` operator.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F2-string
<strong>C++: Strings</strong><br>How do you read a whole line of text including spaces into a string?	<pre style='text-align:left; font-family:monospace;'><code>std::getline(std::cin, myString);</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F2-string
<strong>C++: Memory</strong><br>How do you dynamically allocate an array of 10 integers?	<pre style='text-align:left; font-family:monospace;'><code>int* ptr = new int[10];</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F5-dynamically-allocated%20memory
<strong>C++: Memory</strong><br>How do you free a dynamically allocated array?	<pre style='text-align:left; font-family:monospace;'><code>delete[] ptr;</code></pre>	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F5-dynamically-allocated%20memory
<strong>C++: Functions</strong><br>What is function overloading?	Defining multiple functions with the same name but different parameter lists (signatures).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F6-%20functions
<strong>C++: Pointers & References</strong><br>What is the difference between a pointer and a reference?	A pointer holds a memory address and can be null/reassigned. A reference is an alias, must be initialized, cannot be null, and cannot be reassigned.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F6-pointers%20and%20references
<strong>C++: Pointers</strong><br>What does `const int* ptr` mean?	A pointer to a constant integer. The data cannot be changed through the pointer, but the pointer can change to point elsewhere.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F6-pointers%20and%20references
<strong>C++: Pointers</strong><br>What does `int* const ptr` mean?	A constant pointer to an integer. The pointer cannot change (cannot point elsewhere), but the data it points to can be changed.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F6-pointers%20and%20references
<strong>C++: Classes</strong><br>What is the `this` pointer?	A reserved keyword representing a pointer to the current object instance within a member function.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F7%20-%20OOP%20-%20Classes%20and%20objects
<strong>C++: Classes</strong><br>What is a `friend` function?	A function that is not a member of a class but has access to its private and protected members.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F7%20-%20OOP%20-%20Classes%20and%20objects
<strong>C++: Operator Overloading</strong><br>Why must the stream insertion operator `<<` be overloaded as a friend or global function?	Because the left-hand operand is `std::ostream`, which is not your class. Member functions require the left operand to be the class object.	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F8-%20operator%20overloading
<strong>C++: Operator Overloading</strong><br>What is the difference between overloading `operator++()` and `operator++(int)`?	`operator++()` is pre-increment. `operator++(int)` is post-increment (the `int` is a dummy parameter to distinguish them).	obsidian://open?vault=mohamed&file=programming%2FCpp%2FFrank%2F8-%20operator%20overloading
<strong>C++: Date & Time</strong><br>Which library provides high-precision time utilities in C++?	`<chrono>`	obsidian://open?vault=mohamed&file=programming%2FCpp%2Frandom%2Fdate%20and%20time
